# Team 0: Flushed Faces, Team 1: Quantum Bluff
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
7,Flop,1,46,-46,FOLD,0,"['7s', 'Ad']","['4d', '2s']","['5d', '7h', '2h']",,8d,8,8
8,Pre-Flop,0,54,-54,CALL,0,"['6d', '7s']","['3d', '8s']","['Ah', '9d']",,,1,1
8,Pre-Flop,1,54,-54,RAISE,2,"['6d', '7s']","['3d', '8s']","['Ah', '9d']",,,2,2
8,Pre-Flop,0,54,-54,CALL,0,"['6d', '7s']","['3d', '8s']","['Ah', '9d']",,,2,2
8,Flop,0,54,-54,CHECK,0,"['6d', '7s']","['3d', '8s']","['Ah', '9d', '5s']",,,4,4
8,Flop,1,54,-54,DISCARD,0,"['6d', '7s']","['3d', '8s']","['Ah', '9d', '5s']",,,4,4
8,Flop,1,54,-54,CHECK,0,"['6d', '7s']","['3h', '8s']","['Ah', '9d', '5s']",,3d,4,4
8,Turn,0,54,-54,CHECK,0,"['6d', '7s']","['3h', '8s']","['Ah', '9d', '5s', '4h']",,3d,4,4
8,Turn,1,54,-54,CHECK,0,"['6d', '7s']","['3h', '8s']","['Ah', '9d', '5s', '4h']",,3d,4,4
8,River,0,54,-54,CHECK,0,"['6d', '7s']","['3h', '8s']","['Ah', '9d', '5s', '4h', '6h']",,3d,4,4
8,River,1,54,-54,CHECK,0,"['6d', '7s']","['3h', '8s']","['Ah', '9d', '5s', '4h', '6h']",,3d,4,4
9,Pre-Flop,1,58,-58,RAISE,2,"['6s', '8d']","['5h', '4s']","['2d', '2s']",,,1,1
9,Pre-Flop,0,58,-58,CALL,0,"['6s', '8d']","['5h', '4s']","['2d', '2s']",,,2,2
9,Flop,1,58,-58,CHECK,0,"['6s', '8d']","['5h', '4s']","['2d', '2s', '3d']",,,4,4
9,Flop,0,58,-58,DISCARD,0,"['6s', '8d']","['5h', '4s']","['2d', '2s', '3d']",,,4,4
9,Flop,0,58,-58,CHECK,0,"['9h', '8d']","['5h', '4s']","['2d', '2s', '3d']",6s,,4,4
9,Turn,1,58,-58,RAISE,8,"['9h', '8d']","['5h', '4s']","['2d', '2s', '3d', '6d']",6s,,4,4
9,Turn,0,58,-58,FOLD,0,"['9h', '8d']","['5h', '4s']","['2d', '2s', '3d', '6d']",6s,,4,4
10,Pre-Flop,0,54,-54,DISCARD,0,"['3d', '6s']","['2s', '6d']","['As', '8s']",,,1,1
10,Pre-Flop,0,54,-54,RAISE,2,"['7h', '6s']","['2s', '6d']","['As', '8s']",3d,,1,1
10,Pre-Flop,1,54,-54,FOLD,0,"['7h', '6s']","['2s', '6d']","['As', '8s']",3d,,2,2
