# Team 0: Poker Face, Team 1: Flushed Faces
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
7,Turn,1,-119,119,CHECK,0,"['9h', '5h']","['As', '8d']","['2d', '2s', '4d', '3d']",,,5,5
7,Turn,0,-119,119,CHECK,0,"['9h', '5h']","['As', '8d']","['2d', '2s', '4d', '3d']",,,5,5
7,River,1,-119,119,CHECK,0,"['9h', '5h']","['As', '8d']","['2d', '2s', '4d', '3d', '3h']",,,5,5
7,River,0,-119,119,CHECK,0,"['9h', '5h']","['As', '8d']","['2d', '2s', '4d', '3d', '3h']",,,5,5
8,Pre-Flop,0,-124,124,DISCARD,0,"['3s', 'As']","['6s', '3h']","['2s', '5h']",,,1,1
8,Pre-Flop,0,-124,124,CALL,0,"['7d', 'As']","['6s', '3h']","['2s', '5h']",3s,,1,1
8,Pre-Flop,1,-124,124,CHECK,0,"['7d', 'As']","['6s', '3h']","['2s', '5h']",3s,,2,2
8,Flop,0,-124,124,CHECK,0,"['7d', 'As']","['6s', '3h']","['2s', '5h', '2h']",3s,,2,2
8,Flop,1,-124,124,CHECK,0,"['7d', 'As']","['6s', '3h']","['2s', '5h', '2h']",3s,,2,2
8,Turn,0,-124,124,CHECK,0,"['7d', 'As']","['6s', '3h']","['2s', '5h', '2h', 'Ah']",3s,,2,2
8,Turn,1,-124,124,CHECK,0,"['7d', 'As']","['6s', '3h']","['2s', '5h', '2h', 'Ah']",3s,,2,2
8,River,0,-124,124,CHECK,0,"['7d', 'As']","['6s', '3h']","['2s', '5h', '2h', 'Ah', '9s']",3s,,2,2
8,River,1,-124,124,CHECK,0,"['7d', 'As']","['6s', '3h']","['2s', '5h', '2h', 'Ah', '9s']",3s,,2,2
9,Pre-Flop,1,-122,122,CALL,0,"['7s', 'Ah']","['4h', '3s']","['4s', '6h']",,,1,1
9,Pre-Flop,0,-122,122,RAISE,2,"['7s', 'Ah']","['4h', '3s']","['4s', '6h']",,,2,2
9,Pre-Flop,1,-122,122,CALL,0,"['7s', 'Ah']","['4h', '3s']","['4s', '6h']",,,2,2
9,Flop,1,-122,122,RAISE,9,"['7s', 'Ah']","['4h', '3s']","['4s', '6h', '3d']",,,4,4
9,Flop,0,-122,122,DISCARD,0,"['7s', 'Ah']","['4h', '3s']","['4s', '6h', '3d']",,,4,4
9,Flop,0,-122,122,RAISE,17,"['7s', '5h']","['4h', '3s']","['4s', '6h', '3d']",Ah,,4,4
9,Flop,1,-122,122,CALL,0,"['7s', '5h']","['4h', '3s']","['4s', '6h', '3d']",Ah,,13,13
9,Turn,1,-122,122,CHECK,0,"['7s', '5h']","['4h', '3s']","['4s', '6h', '3d', '8d']",Ah,,30,30
9,Turn,0,-122,122,RAISE,60,"['7s', '5h']","['4h', '3s']","['4s', '6h', '3d', '8d']",Ah,,30,30
9,Turn,1,-122,122,CALL,0,"['7s', '5h']","['4h', '3s']","['4s', '6h', '3d', '8d']",Ah,,30,30
9,River,1,-122,122,RAISE,10,"['7s', '5h']","['4h', '3s']","['4s', '6h', '3d', '8d', 'As']",Ah,,90,90
9,River,0,-122,122,CALL,0,"['7s', '5h']","['4h', '3s']","['4s', '6h', '3d', '8d', 'As']",Ah,,90,90
10,Pre-Flop,0,-22,22,CALL,0,"['9d', '8h']","['6d', '4d']","['2h', '6h']",,,1,1
10,Pre-Flop,1,-22,22,CHECK,0,"['9d', '8h']","['6d', '4d']","['2h', '6h']",,,2,2
10,Flop,0,-22,22,RAISE,2,"['9d', '8h']","['6d', '4d']","['2h', '6h', '8d']",,,2,2
10,Flop,1,-22,22,CALL,0,"['9d', '8h']","['6d', '4d']","['2h', '6h', '8d']",,,2,2
10,Turn,0,-22,22,RAISE,4,"['9d', '8h']","['6d', '4d']","['2h', '6h', '8d', '6s']",,,4,4
10,Turn,1,-22,22,RAISE,92,"['9d', '8h']","['6d', '4d']","['2h', '6h', '8d', '6s']",,,4,4
10,Turn,0,-22,22,CALL,0,"['9d', '8h']","['6d', '4d']","['2h', '6h', '8d', '6s']",,,8,8
10,River,0,-22,22,CHECK,0,"['9d', '8h']","['6d', '4d']","['2h', '6h', '8d', '6s', '7s']",,,100,100
10,River,1,-22,22,CHECK,0,"['9d', '8h']","['6d', '4d']","['2h', '6h', '8d', '6s', '7s']",,,100,100
11,Pre-Flop,1,-122,122,CALL,0,"['2d', '8h']","['Ad', '3d']","['4h', '2h']",,,1,1
