# Team 0: Flushed Faces, Team 1: Quantum Bluff
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
7,Flop,1,51,-51,RAISE,4,"['6d', '9s']","['5h', '2h']","['6s', '4h', '7h']",,,4,4
7,Flop,0,51,-51,DISCARD,0,"['6d', '9s']","['5h', '2h']","['6s', '4h', '7h']",,,4,4
7,Flop,0,51,-51,CALL,0,"['6d', '2d']","['5h', '2h']","['6s', '4h', '7h']",9s,,4,4
7,Turn,1,51,-51,RAISE,12,"['6d', '2d']","['5h', '2h']","['6s', '4h', '7h', '3d']",9s,,8,8
7,Turn,0,51,-51,CALL,0,"['6d', '2d']","['5h', '2h']","['6s', '4h', '7h', '3d']",9s,,8,8
7,River,1,51,-51,RAISE,60,"['6d', '2d']","['5h', '2h']","['6s', '4h', '7h', '3d', '4s']",9s,,20,20
7,River,0,51,-51,FOLD,0,"['6d', '2d']","['5h', '2h']","['6s', '4h', '7h', '3d', '4s']",9s,,20,20
8,Pre-Flop,0,31,-31,DISCARD,0,"['7d', '4h']","['As', '6d']","['5h', '2s']",,,1,1
8,Pre-Flop,0,31,-31,CALL,0,"['7d', '8s']","['As', '6d']","['5h', '2s']",4h,,1,1
8,Pre-Flop,1,31,-31,RAISE,2,"['7d', '8s']","['As', '6d']","['5h', '2s']",4h,,2,2
8,Pre-Flop,0,31,-31,CALL,0,"['7d', '8s']","['As', '6d']","['5h', '2s']",4h,,2,2
8,Flop,0,31,-31,CHECK,0,"['7d', '8s']","['As', '6d']","['5h', '2s', '9h']",4h,,4,4
8,Flop,1,31,-31,CHECK,0,"['7d', '8s']","['As', '6d']","['5h', '2s', '9h']",4h,,4,4
8,Turn,0,31,-31,CHECK,0,"['7d', '8s']","['As', '6d']","['5h', '2s', '9h', 'Ad']",4h,,4,4
8,Turn,1,31,-31,RAISE,6,"['7d', '8s']","['As', '6d']","['5h', '2s', '9h', 'Ad']",4h,,4,4
8,Turn,0,31,-31,CALL,0,"['7d', '8s']","['As', '6d']","['5h', '2s', '9h', 'Ad']",4h,,4,4
8,River,0,31,-31,CHECK,0,"['7d', '8s']","['As', '6d']","['5h', '2s', '9h', 'Ad', '8d']",4h,,10,10
8,River,1,31,-31,RAISE,10,"['7d', '8s']","['As', '6d']","['5h', '2s', '9h', 'Ad', '8d']",4h,,10,10
8,River,0,31,-31,CALL,0,"['7d', '8s']","['As', '6d']","['5h', '2s', '9h', 'Ad', '8d']",4h,,10,10
9,Pre-Flop,1,11,-11,RAISE,2,"['9s', '6h']","['6s', '5h']","['4d', 'As']",,,1,1
9,Pre-Flop,0,11,-11,CALL,0,"['9s', '6h']","['6s', '5h']","['4d', 'As']",,,2,2
9,Flop,1,11,-11,DISCARD,0,"['9s', '6h']","['6s', '5h']","['4d', 'As', '4s']",,,4,4
9,Flop,1,11,-11,CHECK,0,"['9s', '6h']","['6s', '3d']","['4d', 'As', '4s']",,5h,4,4
9,Flop,0,11,-11,CHECK,0,"['9s', '6h']","['6s', '3d']","['4d', 'As', '4s']",,5h,4,4
9,Turn,1,11,-11,CHECK,0,"['9s', '6h']","['6s', '3d']","['4d', 'As', '4s', '2s']",,5h,4,4
9,Turn,0,11,-11,RAISE,11,"['9s', '6h']","['6s', '3d']","['4d', 'As', '4s', '2s']",,5h,4,4
9,Turn,1,11,-11,FOLD,0,"['9s', '6h']","['6s', '3d']","['4d', 'As', '4s', '2s']",,5h,4,4
10,Pre-Flop,0,15,-15,DISCARD,0,"['3h', '8s']","['9s', '7s']","['5s', '4h']",,,1,1
10,Pre-Flop,0,15,-15,CALL,0,"['4s', '8s']","['9s', '7s']","['5s', '4h']",3h,,1,1
10,Pre-Flop,1,15,-15,RAISE,2,"['4s', '8s']","['9s', '7s']","['5s', '4h']",3h,,2,2
10,Pre-Flop,0,15,-15,CALL,0,"['4s', '8s']","['9s', '7s']","['5s', '4h']",3h,,2,2
10,Flop,0,15,-15,CHECK,0,"['4s', '8s']","['9s', '7s']","['5s', '4h', '7h']",3h,,4,4
10,Flop,1,15,-15,RAISE,4,"['4s', '8s']","['9s', '7s']","['5s', '4h', '7h']",3h,,4,4
10,Flop,0,15,-15,CALL,0,"['4s', '8s']","['9s', '7s']","['5s', '4h', '7h']",3h,,4,4
10,Turn,0,15,-15,RAISE,87,"['4s', '8s']","['9s', '7s']","['5s', '4h', '7h', '6h']",3h,,8,8
10,Turn,1,15,-15,FOLD,0,"['4s', '8s']","['9s', '7s']","['5s', '4h', '7h', '6h']",3h,,8,8
11,Pre-Flop,1,23,-23,RAISE,2,"['As', '2d']","['7h', '8s']","['6d', '8h']",,,1,1
11,Pre-Flop,0,23,-23,DISCARD,0,"['As', '2d']","['7h', '8s']","['6d', '8h']",,,2,2
11,Pre-Flop,0,23,-23,CALL,0,"['As', '4h']","['7h', '8s']","['6d', '8h']",2d,,2,2
11,Flop,1,23,-23,RAISE,4,"['As', '4h']","['7h', '8s']","['6d', '8h', '9s']",2d,,4,4
11,Flop,0,23,-23,CALL,0,"['As', '4h']","['7h', '8s']","['6d', '8h', '9s']",2d,,4,4
