# Team 0: Quantum Bluff, Team 1: Flushed Faces
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
6,Pre-Flop,0,24,-24,RAISE,2,"['9h', 'Ah']","['As', '3d']","['2s', '6d']",,,1,1
6,Pre-Flop,1,24,-24,CALL,0,"['9h', 'Ah']","['As', '3d']","['2s', '6d']",,,2,2
6,Flop,0,24,-24,CHECK,0,"['9h', 'Ah']","['As', '3d']","['2s', '6d', '7h']",,,4,4
6,Flop,1,24,-24,DISCARD,0,"['9h', 'Ah']","['As', '3d']","['2s', '6d', '7h']",,,4,4
6,Flop,1,24,-24,CHECK,0,"['9h', 'Ah']","['As', '3h']","['2s', '6d', '7h']",,3d,4,4
6,Turn,0,24,-24,RAISE,4,"['9h', 'Ah']","['As', '3h']","['2s', '6d', '7h', '8h']",,3d,4,4
6,Turn,1,24,-24,FOLD,0,"['9h', 'Ah']","['As', '3h']","['2s', '6d', '7h', '8h']",,3d,4,4
7,Pre-Flop,1,28,-28,CALL,0,"['3d', '9d']","['2d', '8d']","['6d', '4s']",,,1,1
7,Pre-Flop,0,28,-28,RAISE,2,"['3d', '9d']","['2d', '8d']","['6d', '4s']",,,2,2
7,Pre-Flop,1,28,-28,CALL,0,"['3d', '9d']","['2d', '8d']","['6d', '4s']",,,2,2
7,Flop,1,28,-28,CHECK,0,"['3d', '9d']","['2d', '8d']","['6d', '4s', '2h']",,,4,4
7,Flop,0,28,-28,DISCARD,0,"['3d', '9d']","['2d', '8d']","['6d', '4s', '2h']",,,4,4
7,Flop,0,28,-28,CHECK,0,"['3d', '3h']","['2d', '8d']","['6d', '4s', '2h']",9d,,4,4
7,Turn,1,28,-28,RAISE,24,"['3d', '3h']","['2d', '8d']","['6d', '4s', '2h', '2s']",9d,,4,4
7,Turn,0,28,-28,FOLD,0,"['3d', '3h']","['2d', '8d']","['6d', '4s', '2h', '2s']",9d,,4,4
8,Pre-Flop,0,24,-24,RAISE,2,"['4s', '9d']","['6h', 'Ad']","['2s', '3d']",,,1,1
8,Pre-Flop,1,24,-24,RAISE,6,"['4s', '9d']","['6h', 'Ad']","['2s', '3d']",,,2,2
8,Pre-Flop,0,24,-24,CALL,0,"['4s', '9d']","['6h', 'Ad']","['2s', '3d']",,,4,4
8,Flop,0,24,-24,CHECK,0,"['4s', '9d']","['6h', 'Ad']","['2s', '3d', '2d']",,,10,10
8,Flop,1,24,-24,CHECK,0,"['4s', '9d']","['6h', 'Ad']","['2s', '3d', '2d']",,,10,10
8,Turn,0,24,-24,CHECK,0,"['4s', '9d']","['6h', 'Ad']","['2s', '3d', '2d', '5h']",,,10,10
8,Turn,1,24,-24,CHECK,0,"['4s', '9d']","['6h', 'Ad']","['2s', '3d', '2d', '5h']",,,10,10
8,River,0,24,-24,CHECK,0,"['4s', '9d']","['6h', 'Ad']","['2s', '3d', '2d', '5h', '8h']",,,10,10
8,River,1,24,-24,CHECK,0,"['4s', '9d']","['6h', 'Ad']","['2s', '3d', '2d', '5h', '8h']",,,10,10
9,Pre-Flop,1,14,-14,RAISE,4,"['4h', '6d']","['Ad', '9d']","['5s', '3s']",,,1,1
9,Pre-Flop,0,14,-14,CALL,0,"['4h', '6d']","['Ad', '9d']","['5s', '3s']",,,2,2
9,Flop,1,14,-14,CHECK,0,"['4h', '6d']","['Ad', '9d']","['5s', '3s', '3h']",,,6,6
9,Flop,0,14,-14,CHECK,0,"['4h', '6d']","['Ad', '9d']","['5s', '3s', '3h']",,,6,6
9,Turn,1,14,-14,RAISE,19,"['4h', '6d']","['Ad', '9d']","['5s', '3s', '3h', 'As']",,,6,6
9,Turn,0,14,-14,FOLD,0,"['4h', '6d']","['Ad', '9d']","['5s', '3s', '3h', 'As']",,,6,6
10,Pre-Flop,0,8,-8,RAISE,2,"['5d', '3s']","['9d', '7h']","['5s', '3h']",,,1,1
10,Pre-Flop,1,8,-8,RAISE,6,"['5d', '3s']","['9d', '7h']","['5s', '3h']",,,2,2
10,Pre-Flop,0,8,-8,CALL,0,"['5d', '3s']","['9d', '7h']","['5s', '3h']",,,4,4
10,Flop,0,8,-8,RAISE,10,"['5d', '3s']","['9d', '7h']","['5s', '3h', '8s']",,,10,10
10,Flop,1,8,-8,CALL,0,"['5d', '3s']","['9d', '7h']","['5s', '3h', '8s']",,,10,10
10,Turn,0,8,-8,CHECK,0,"['5d', '3s']","['9d', '7h']","['5s', '3h', '8s', '4h']",,,20,20
