# Team 0: PlayerAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
7,Pre-Flop,1,-5,5,RAISE,27,"['7h', '8h']","['9h', 'Ad']","['5h', '4h']",,2d,6,6
7,Pre-Flop,0,-5,5,RAISE,39,"['7h', '8h']","['9h', 'Ad']","['5h', '4h']",,2d,12,12
7,Pre-Flop,1,-5,5,FOLD,0,"['7h', '8h']","['9h', 'Ad']","['5h', '4h']",,2d,39,39
8,Pre-Flop,0,34,-34,RAISE,3,"['6s', 'As']","['9h', '4d']","['Ah', '9s']",,,1,1
8,Pre-Flop,1,34,-34,DISCARD,0,"['6s', 'As']","['9h', '4d']","['Ah', '9s']",,,2,2
8,Pre-Flop,1,34,-34,CALL,0,"['6s', 'As']","['9h', '2h']","['Ah', '9s']",,4d,2,2
8,Flop,0,34,-34,RAISE,42,"['6s', 'As']","['9h', '2h']","['Ah', '9s', '2s']",,4d,5,5
8,Flop,1,34,-34,FOLD,0,"['6s', 'As']","['9h', '2h']","['Ah', '9s', '2s']",,4d,5,5
9,Pre-Flop,1,39,-39,DISCARD,0,"['8s', '3d']","['5h', '2h']","['8d', '9h']",,,1,1
9,Pre-Flop,1,39,-39,RAISE,3,"['8s', '3d']","['5h', '6h']","['8d', '9h']",,2h,1,1
9,Pre-Flop,0,39,-39,CALL,0,"['8s', '3d']","['5h', '6h']","['8d', '9h']",,2h,2,2
9,Flop,1,39,-39,RAISE,14,"['8s', '3d']","['5h', '6h']","['8d', '9h', '4h']",,2h,5,5
9,Flop,0,39,-39,CALL,0,"['8s', '3d']","['5h', '6h']","['8d', '9h', '4h']",,2h,5,5
9,Turn,1,39,-39,CHECK,0,"['8s', '3d']","['5h', '6h']","['8d', '9h', '4h', '2s']",,2h,19,19
9,Turn,0,39,-39,RAISE,71,"['8s', '3d']","['5h', '6h']","['8d', '9h', '4h', '2s']",,2h,19,19
9,Turn,1,39,-39,FOLD,0,"['8s', '3d']","['5h', '6h']","['8d', '9h', '4h', '2s']",,2h,19,19
10,Pre-Flop,0,58,-58,RAISE,2,"['9h', '6d']","['Ah', '9s']","['5h', '3h']",,,1,1
10,Pre-Flop,1,58,-58,RAISE,9,"['9h', '6d']","['Ah', '9s']","['5h', '3h']",,,2,2
10,Pre-Flop,0,58,-58,RAISE,13,"['9h', '6d']","['Ah', '9s']","['5h', '3h']",,,4,4
10,Pre-Flop,1,58,-58,CALL,0,"['9h', '6d']","['Ah', '9s']","['5h', '3h']",,,13,13
10,Flop,0,58,-58,CHECK,0,"['9h', '6d']","['Ah', '9s']","['5h', '3h', '3s']",,,26,26
10,Flop,1,58,-58,CHECK,0,"['9h', '6d']","['Ah', '9s']","['5h', '3h', '3s']",,,26,26
10,Turn,0,58,-58,CHECK,0,"['9h', '6d']","['Ah', '9s']","['5h', '3h', '3s', '7d']",,,26,26
10,Turn,1,58,-58,CHECK,0,"['9h', '6d']","['Ah', '9s']","['5h', '3h', '3s', '7d']",,,26,26
10,River,0,58,-58,CHECK,0,"['9h', '6d']","['Ah', '9s']","['5h', '3h', '3s', '7d', '2h']",,,26,26
10,River,1,58,-58,CHECK,0,"['9h', '6d']","['Ah', '9s']","['5h', '3h', '3s', '7d', '2h']",,,26,26
11,Pre-Flop,1,32,-32,RAISE,4,"['3s', '3d']","['8s', 'Ad']","['4h', '9h']",,,1,1
11,Pre-Flop,0,32,-32,CALL,0,"['3s', '3d']","['8s', 'Ad']","['4h', '9h']",,,2,2
11,Flop,1,32,-32,CHECK,0,"['3s', '3d']","['8s', 'Ad']","['4h', '9h', '4d']",,,6,6
11,Flop,0,32,-32,DISCARD,0,"['3s', '3d']","['8s', 'Ad']","['4h', '9h', '4d']",,,6,6
11,Flop,0,32,-32,RAISE,74,"['4s', '3d']","['8s', 'Ad']","['4h', '9h', '4d']",3s,,6,6
11,Flop,1,32,-32,DISCARD,0,"['4s', '3d']","['8s', 'Ad']","['4h', '9h', '4d']",3s,,6,6
11,Flop,1,32,-32,FOLD,0,"['4s', '3d']","['7s', 'Ad']","['4h', '9h', '4d']",3s,8s,6,6
12,Pre-Flop,0,38,-38,CALL,0,"['3d', '4s']","['Ah', '6s']","['3h', '9d']",,,1,1
12,Pre-Flop,1,38,-38,RAISE,5,"['3d', '4s']","['Ah', '6s']","['3h', '9d']",,,2,2
12,Pre-Flop,0,38,-38,CALL,0,"['3d', '4s']","['Ah', '6s']","['3h', '9d']",,,2,2
12,Flop,0,38,-38,CHECK,0,"['3d', '4s']","['Ah', '6s']","['3h', '9d', '2s']",,,7,7
12,Flop,1,38,-38,DISCARD,0,"['3d', '4s']","['Ah', '6s']","['3h', '9d', '2s']",,,7,7
12,Flop,1,38,-38,CHECK,0,"['3d', '4s']","['Ah', '4d']","['3h', '9d', '2s']",,6s,7,7
12,Turn,0,38,-38,RAISE,17,"['3d', '4s']","['Ah', '4d']","['3h', '9d', '2s', '2d']",,6s,7,7
12,Turn,1,38,-38,FOLD,0,"['3d', '4s']","['Ah', '4d']","['3h', '9d', '2s', '2d']",,6s,7,7
13,Pre-Flop,1,45,-45,RAISE,3,"['5d', '4h']","['Ah', '4s']","['9d', '7d']",,,1,1
13,Pre-Flop,0,45,-45,CALL,0,"['5d', '4h']","['Ah', '4s']","['9d', '7d']",,,2,2
13,Flop,1,45,-45,DISCARD,0,"['5d', '4h']","['Ah', '4s']","['9d', '7d', '2d']",,,5,5
13,Flop,1,45,-45,CHECK,0,"['5d', '4h']","['Ah', '5s']","['9d', '7d', '2d']",,4s,5,5
13,Flop,0,45,-45,CHECK,0,"['5d', '4h']","['Ah', '5s']","['9d', '7d', '2d']",,4s,5,5
13,Turn,1,45,-45,CHECK,0,"['5d', '4h']","['Ah', '5s']","['9d', '7d', '2d', '6h']",,4s,5,5
13,Turn,0,45,-45,CHECK,0,"['5d', '4h']","['Ah', '5s']","['9d', '7d', '2d', '6h']",,4s,5,5
13,River,1,45,-45,CHECK,0,"['5d', '4h']","['Ah', '5s']","['9d', '7d', '2d', '6h', '8d']",,4s,5,5
