# Team 0: Quantum Bluff, Team 1: Flushed Faces
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
7,Flop,1,34,-34,RAISE,52,"['2d', 'As']","['9h', '5h']","['9s', '6h', '8s']",,,17,17
7,Flop,0,34,-34,DISCARD,0,"['2d', 'As']","['9h', '5h']","['9s', '6h', '8s']",,,17,17
7,Flop,0,34,-34,FOLD,0,"['7d', 'As']","['9h', '5h']","['9s', '6h', '8s']",2d,,17,17
8,Pre-Flop,0,17,-17,RAISE,2,"['9s', '2h']","['2d', '4d']","['6s', 'As']",,,1,1
8,Pre-Flop,1,17,-17,CALL,0,"['9s', '2h']","['2d', '4d']","['6s', 'As']",,,2,2
8,Flop,0,17,-17,RAISE,4,"['9s', '2h']","['2d', '4d']","['6s', 'As', '7s']",,,4,4
8,Flop,1,17,-17,DISCARD,0,"['9s', '2h']","['2d', '4d']","['6s', 'As', '7s']",,,4,4
8,Flop,1,17,-17,CALL,0,"['9s', '2h']","['7d', '4d']","['6s', 'As', '7s']",,2d,4,4
8,Turn,0,17,-17,RAISE,16,"['9s', '2h']","['7d', '4d']","['6s', 'As', '7s', '5s']",,2d,8,8
8,Turn,1,17,-17,FOLD,0,"['9s', '2h']","['7d', '4d']","['6s', 'As', '7s', '5s']",,2d,8,8
9,Pre-Flop,1,25,-25,CALL,0,"['Ah', '5s']","['2h', '9s']","['3h', '9h']",,,1,1
9,Pre-Flop,0,25,-25,RAISE,2,"['Ah', '5s']","['2h', '9s']","['3h', '9h']",,,2,2
9,Pre-Flop,1,25,-25,CALL,0,"['Ah', '5s']","['2h', '9s']","['3h', '9h']",,,2,2
9,Flop,1,25,-25,RAISE,13,"['Ah', '5s']","['2h', '9s']","['3h', '9h', '6s']",,,4,4
9,Flop,0,25,-25,DISCARD,0,"['Ah', '5s']","['2h', '9s']","['3h', '9h', '6s']",,,4,4
9,Flop,0,25,-25,FOLD,0,"['Ah', '3d']","['2h', '9s']","['3h', '9h', '6s']",5s,,4,4
10,Pre-Flop,0,21,-21,RAISE,2,"['9d', 'Ad']","['3s', '8s']","['3d', '2s']",,,1,1
10,Pre-Flop,1,21,-21,CALL,0,"['9d', 'Ad']","['3s', '8s']","['3d', '2s']",,,2,2
10,Flop,0,21,-21,DISCARD,0,"['9d', 'Ad']","['3s', '8s']","['3d', '2s', '6s']",,,4,4
10,Flop,0,21,-21,RAISE,4,"['As', 'Ad']","['3s', '8s']","['3d', '2s', '6s']",9d,,4,4
10,Flop,1,21,-21,RAISE,17,"['As', 'Ad']","['3s', '8s']","['3d', '2s', '6s']",9d,,4,4
10,Flop,0,21,-21,FOLD,0,"['As', 'Ad']","['3s', '8s']","['3d', '2s', '6s']",9d,,8,8
11,Pre-Flop,1,13,-13,CALL,0,"['6d', '4h']","['4d', '3h']","['4s', '5h']",,,1,1
11,Pre-Flop,0,13,-13,RAISE,2,"['6d', '4h']","['4d', '3h']","['4s', '5h']",,,2,2
11,Pre-Flop,1,13,-13,CALL,0,"['6d', '4h']","['4d', '3h']","['4s', '5h']",,,2,2
11,Flop,1,13,-13,CHECK,0,"['6d', '4h']","['4d', '3h']","['4s', '5h', '5d']",,,4,4
11,Flop,0,13,-13,CHECK,0,"['6d', '4h']","['4d', '3h']","['4s', '5h', '5d']",,,4,4
11,Turn,1,13,-13,CHECK,0,"['6d', '4h']","['4d', '3h']","['4s', '5h', '5d', '8h']",,,4,4
11,Turn,0,13,-13,CHECK,0,"['6d', '4h']","['4d', '3h']","['4s', '5h', '5d', '8h']",,,4,4
11,River,1,13,-13,CHECK,0,"['6d', '4h']","['4d', '3h']","['4s', '5h', '5d', '8h', 'Ad']",,,4,4
11,River,0,13,-13,CHECK,0,"['6d', '4h']","['4d', '3h']","['4s', '5h', '5d', '8h', 'Ad']",,,4,4
12,Pre-Flop,0,13,-13,RAISE,2,"['9d', 'Ad']","['9s', '5h']","['Ah', '8s']",,,1,1
12,Pre-Flop,1,13,-13,RAISE,4,"['9d', 'Ad']","['9s', '5h']","['Ah', '8s']",,,2,2
12,Pre-Flop,0,13,-13,RAISE,8,"['9d', 'Ad']","['9s', '5h']","['Ah', '8s']",,,4,4
12,Pre-Flop,1,13,-13,CALL,0,"['9d', 'Ad']","['9s', '5h']","['Ah', '8s']",,,8,8
12,Flop,0,13,-13,RAISE,16,"['9d', 'Ad']","['9s', '5h']","['Ah', '8s', '2d']",,,16,16
12,Flop,1,13,-13,DISCARD,0,"['9d', 'Ad']","['9s', '5h']","['Ah', '8s', '2d']",,,16,16
12,Flop,1,13,-13,CALL,0,"['9d', 'Ad']","['9s', '3d']","['Ah', '8s', '2d']",,5h,16,16
12,Turn,0,13,-13,RAISE,64,"['9d', 'Ad']","['9s', '3d']","['Ah', '8s', '2d', '2h']",,5h,32,32
12,Turn,1,13,-13,FOLD,0,"['9d', 'Ad']","['9s', '3d']","['Ah', '8s', '2d', '2h']",,5h,32,32
13,Pre-Flop,1,45,-45,CALL,0,"['5s', '4d']","['Ah', '2s']","['9d', '6h']",,,1,1
13,Pre-Flop,0,45,-45,RAISE,2,"['5s', '4d']","['Ah', '2s']","['9d', '6h']",,,2,2
13,Pre-Flop,1,45,-45,CALL,0,"['5s', '4d']","['Ah', '2s']","['9d', '6h']",,,2,2
13,Flop,1,45,-45,RAISE,17,"['5s', '4d']","['Ah', '2s']","['9d', '6h', 'As']",,,4,4
