# Team 0: ekb, Team 1: Flushed Faces
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
9,Pre-Flop,1,-32,32,CALL,0,"['Ad', '9d']","['5d', '9h']","['6s', '8d']",,,1,1
9,Pre-Flop,0,-32,32,RAISE,3,"['Ad', '9d']","['5d', '9h']","['6s', '8d']",,,2,2
9,Pre-Flop,1,-32,32,CALL,0,"['Ad', '9d']","['5d', '9h']","['6s', '8d']",,,2,2
9,Flop,1,-32,32,CHECK,0,"['Ad', '9d']","['5d', '9h']","['6s', '8d', '4d']",,,5,5
9,Flop,0,-32,32,RAISE,18,"['Ad', '9d']","['5d', '9h']","['6s', '8d', '4d']",,,5,5
9,Flop,1,-32,32,CALL,0,"['Ad', '9d']","['5d', '9h']","['6s', '8d', '4d']",,,5,5
9,Turn,1,-32,32,CHECK,0,"['Ad', '9d']","['5d', '9h']","['6s', '8d', '4d', '3s']",,,23,23
9,Turn,0,-32,32,CHECK,0,"['Ad', '9d']","['5d', '9h']","['6s', '8d', '4d', '3s']",,,23,23
9,River,1,-32,32,CHECK,0,"['Ad', '9d']","['5d', '9h']","['6s', '8d', '4d', '3s', '9s']",,,23,23
9,River,0,-32,32,CHECK,0,"['Ad', '9d']","['5d', '9h']","['6s', '8d', '4d', '3s', '9s']",,,23,23
10,Pre-Flop,0,-9,9,RAISE,2,"['5d', '5s']","['2d', '6h']","['8h', '9s']",,,1,1
10,Pre-Flop,1,-9,9,CALL,0,"['5d', '5s']","['2d', '6h']","['8h', '9s']",,,2,2
10,Flop,0,-9,9,CHECK,0,"['5d', '5s']","['2d', '6h']","['8h', '9s', '4s']",,,4,4
10,Flop,1,-9,9,DISCARD,0,"['5d', '5s']","['2d', '6h']","['8h', '9s', '4s']",,,4,4
10,Flop,1,-9,9,RAISE,11,"['5d', '5s']","['8d', '6h']","['8h', '9s', '4s']",,2d,4,4
10,Flop,0,-9,9,DISCARD,0,"['5d', '5s']","['8d', '6h']","['8h', '9s', '4s']",,2d,4,4
10,Flop,0,-9,9,FOLD,0,"['5d', '7d']","['8d', '6h']","['8h', '9s', '4s']",5s,2d,4,4
11,Pre-Flop,1,-13,13,CALL,0,"['7h', 'As']","['4s', '9s']","['3h', '8d']",,,1,1
11,Pre-Flop,0,-13,13,RAISE,3,"['7h', 'As']","['4s', '9s']","['3h', '8d']",,,2,2
11,Pre-Flop,1,-13,13,CALL,0,"['7h', 'As']","['4s', '9s']","['3h', '8d']",,,2,2
11,Flop,1,-13,13,DISCARD,0,"['7h', 'As']","['4s', '9s']","['3h', '8d', '6d']",,,5,5
11,Flop,1,-13,13,CHECK,0,"['7h', 'As']","['2d', '9s']","['3h', '8d', '6d']",,4s,5,5
